,geo,text,user,location,Subject,state
392,," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…",Shelsyy_S,"Visalia, California",Donald Trump,California
401,," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…",Meidas_Steve,NJ,Donald Trump,New Jersey
408,, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,OpenMindPsychRN,"Nebraska,  USA",Donald Trump,Nebraska
418,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,lordjakobi,"Washington, USA",Donald Trump,Washington
420,," Donald Trump, Jr., laughing, says the 1,004 Americans who died of COVID-19 over the past 24 hours are ""almost nothing.""…",realdonaIdump,"Washington, DC",Donald Trump,Washington
422,," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…",sharonmwinner,"Anchorage, AK",Donald Trump,Alaska
423,,The president's son delivered a whopper during a Fox News interview. ,HuffPostEnt,"New York, NY",Donald Trump,New York
429,, Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …,Lynnjoh16722095,"California, USA",Donald Trump,California
440,,"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousands of…",MarifaP,"Longwood, FL",Donald Trump,Florida
443,, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,NewsroomJim,"New York, NY",Donald Trump,New York
448,, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…,Upson4WV,"Jefferson County, WV",Donald Trump,West Virginia
449,," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…",chilakeel,"Milwaukee, WI",Donald Trump,Wisconsin
451,, Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters ,Angel2daMax,"East Bay, CA",Donald Trump,California
452,," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",supapally,"Maine, USA",Donald Trump,Maine
453,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",rob0349,"New York, USA",Donald Trump,New York
458,, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…,Fatboy_ElNegro,"Mesquite, TX",Donald Trump,Texas
467,," I support Donald Trump, do you?",RajChennai7,"Washington, USA ",Donald Trump,Washington
469,," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",timpeters420,"Plymouth, IN",Donald Trump,Indiana
481,, 🇺🇸🇺🇸🇺🇸God Bless America &amp; God Bless Donald J. Trump! 🇺🇸🇺🇸🇺🇸#RNC2020  #Trump2020 #KAG #MAGA  #RedNationRising …,suemayonline,"Beaverton, OR",Donald Trump,Oregon
